Date,type,Name,Ticker,Open,High,Low,Volume,Multiplier
2021-05-21,Crypto,Bitcoin,BTC-USD,40596.94921875,42172.171875,33616.453125,82051616861,4
2021-05-22,Crypto,Bitcoin,BTC-USD,37371.03125,38831.0546875,35383.68359375,57377273240,4
2021-05-23,Crypto,Bitcoin,BTC-USD,37531.44921875,38289.21875,31227.33984375,78469274361,4
2021-05-24,Crypto,Bitcoin,BTC-USD,34700.36328125,39835.140625,34551.08203125,67359584098,4
2021-05-25,Crypto,Bitcoin,BTC-USD,38795.78125,39776.3515625,36581.4296875,56211915803,4
2021-05-26,Crypto,Bitcoin,BTC-USD,38392.625,40782.078125,37905.8359375,51346735160,4
2021-05-27,Crypto,Bitcoin,BTC-USD,39316.890625,40379.6171875,37247.90234375,43210968721,4
2021-05-28,Crypto,Bitcoin,BTC-USD,38507.08203125,38856.96875,34779.0390625,55200191952,4
2021-05-29,Crypto,Bitcoin,BTC-USD,35684.15625,37234.5,33693.9296875,45231013335,4
2021-05-30,Crypto,Bitcoin,BTC-USD,34607.40625,36400.66796875,33520.73828125,31646080921,4
2021-05-31,Crypto,Bitcoin,BTC-USD,35658.59375,37468.25,34241.9453125,39009847639,4
2021-06-01,Crypto,Bitcoin,BTC-USD,37293.79296875,37896.734375,35787.0859375,34639423297,4
2021-06-02,Crypto,Bitcoin,BTC-USD,36699.921875,38231.33984375,35966.30859375,33070867190,4
2021-06-03,Crypto,Bitcoin,BTC-USD,37599.41015625,39478.953125,37243.97265625,35460750427,4
2021-06-04,Crypto,Bitcoin,BTC-USD,39242.484375,39242.484375,35717.72265625,41831090187,4
2021-06-05,Crypto,Bitcoin,BTC-USD,36880.15625,37917.71484375,34900.4140625,35959473399,4
2021-06-06,Crypto,Bitcoin,BTC-USD,35538.609375,36436.421875,35304.578125,28913440585,4
2021-06-07,Crypto,Bitcoin,BTC-USD,35835.265625,36790.5703125,33480.640625,33683936663,4
2021-06-08,Crypto,Bitcoin,BTC-USD,33589.51953125,34017.38671875,31114.443359375,49902050442,4
2021-06-09,Crypto,Bitcoin,BTC-USD,33416.9765625,37537.37109375,32475.865234375,53972919008,4
2021-06-10,Crypto,Bitcoin,BTC-USD,37389.515625,38334.32421875,35847.59375,43576032854,4
2021-06-11,Crypto,Bitcoin,BTC-USD,36697.03125,37608.6953125,36044.44921875,38699736985,4
2021-06-12,Crypto,Bitcoin,BTC-USD,37340.14453125,37408.92578125,34728.19140625,37924228550,4
2021-06-13,Crypto,Bitcoin,BTC-USD,35555.7890625,39322.78125,34864.109375,40669112838,4
2021-06-14,Crypto,Bitcoin,BTC-USD,39016.96875,40978.36328125,38757.28515625,43148914673,4
2021-06-15,Crypto,Bitcoin,BTC-USD,40427.16796875,41295.26953125,39609.46875,46420149185,4
2021-06-16,Crypto,Bitcoin,BTC-USD,40168.69140625,40516.77734375,38176.03515625,39211635100,4
2021-06-17,Crypto,Bitcoin,BTC-USD,38341.421875,39513.671875,37439.67578125,37096670047,4
2021-06-18,Crypto,Bitcoin,BTC-USD,38099.4765625,38187.26171875,35255.85546875,36200887275,4
2021-06-19,Crypto,Bitcoin,BTC-USD,35854.52734375,36457.796875,34933.0625,31207279719,4
2021-06-20,Crypto,Bitcoin,BTC-USD,35563.140625,36059.484375,33432.07421875,36664034054,4
2021-06-21,Crypto,Bitcoin,BTC-USD,35641.14453125,35721.640625,31295.935546875,52809038594,4
2021-06-22,Crypto,Bitcoin,BTC-USD,31622.376953125,33292.453125,28893.62109375,58964353058,4
2021-06-23,Crypto,Bitcoin,BTC-USD,32515.71484375,34753.41015625,31772.6328125,46317108925,4
